time,open,high,low,close,Trend Strength,Bar Color Value,Smart Trail,Smart Trail Extremity,Neo Lead,Neo Lag,Bullish.1,Bullish+.1,Bearish.1,Bearish+.1,Trend Strength.1,Bar Color Value.1
2022-04-20T02:00:00-05:00,41460.2,41633.7,41286.9,41334.2,46.26806945926759,1,40037.45811928245,40403.302276800656,40806.954280467486,40298.77396324269,0,0,0,0,46.26806945926759,1
2022-04-20T03:00:00-05:00,41334.2,41516.9,41303.3,41477.5,49.138324952581286,1,40060.914679528025,40420.79967319397,40806.954280467486,40298.77396324269,0,0,0,0,49.138324952581286,1
2022-04-20T04:00:00-05:00,41477.4,41721.1,41453.0,41537.7,52.20603405012674,1,40107.92522716286,40465.368920372144,40806.954280467486,40298.77396324269,0,0,0,0,52.20603405012674,1
2022-04-20T05:00:00-05:00,41537.6,41896.0,41447.7,41810.8,55.6111353490958,1,40160.93106420152,40573.398298151136,41076.55369206602,40342.30738413205,0,0,0,0,55.6111353490958,1
2022-04-20T06:00:00-05:00,41810.8,42188.0,41711.4,42089.0,59.43643535255351,1,40245.77842581069,40706.58381935801,41352.46742360569,40615.93484721138,0,0,0,0,59.43643535255351,1
2022-04-20T07:00:00-05:00,42089.0,42176.8,41943.9,42110.6,62.9931854875686,1,40357.05766311083,40795.44324733312,41374.83883648766,40639.07767297532,0,0,0,0,62.9931854875686,1
2022-04-20T08:00:00-05:00,42110.7,42110.7,41425.7,41591.5,65.26858431727486,1,40426.92460357785,40840.498450063045,41374.83883648766,40639.07767297532,0,0,0,0,65.26858431727486,1
2022-04-20T09:00:00-05:00,41591.5,41746.8,41500.6,41550.4,67.5822345193302,1,40479.08638716345,40873.45843399578,41374.83883648766,40639.07767297532,0,0,0,0,67.5822345193302,1
2022-04-20T10:00:00-05:00,41550.3,41558.8,41053.2,41260.8,69.4575690259277,1,40501.62578491332,40884.62677682347,41374.83883648766,40639.07767297532,0,0,0,0,69.4575690259277,1
2022-04-20T11:00:00-05:00,41260.7,41404.7,41023.4,41374.3,70.59934129558994,1,40518.87910075547,40894.30792315832,41374.83883648766,40639.07767297532,0,0,0,0,70.59934129558994,1
